Date,Dealer,City,Model Year,Mileage,Trim,Price,Discount
2025-04-02,Bernardi Toyota,Framingham,2025,10.0,SE,35108,499.32560000000376
2025-04-12,ATT MOTORS LLC,Worcester,2018,142040.0,LE,12900,492.9363334317786
2025-04-18,Nucar Toyota of Norwood,Norwood,2025,3.0,SE,35123,484.7917999999991
2025-04-03,McGee Toyota of Claremont,Claremont,2025,5.0,XSE,39317,484.1785999999993
2025-04-23,Balise Honda of North Attleboro,North Attleboro,2023,111963.0,LE,20461,476.676589485156
2025-04-16,Ira Toyota of Danvers,Danvers,2025,5.0,SE,35132,475.6586000000025
2025-04-24,Grieco Honda,Johnston,2023,5463.0,LE,27555,475.5765894851575
2025-04-27,Woburn Toyota,Woburn,2019,93177.0,SE,18495,455.3516000555428
2025-04-10,Copeland Toyota,Brockton,2022,48172.0,LE,23495,454.488488954521
2025-04-05,Copeland Toyota,Brockton,2023,55690.0,SE,24995,448.44998948515786
2025-04-11,Ira Toyota of Orleans,Orleans,2025,10.0,SE,35159,448.32560000000376
2025-04-05,Atlantic Toyota,Lynn,2016,47688.0,SE,17800,440.3742734958796
2025-04-06,McGovern Toyota of Portsmouth,Portsmouth,2025,5.0,XSE,39365,436.1785999999993
2025-04-23,Toyota of Braintree,Braintree,2017,40403.0,XLE,21545,416.9661789703132
2025-04-05,Colonial South Chrysler Jeep Dodge,Dartmouth,2018,54643.0,LE,18800,413.57653343178026
2025-04-17,Mastria Buick GMC,Raynham,2017,96265.0,LE,13900,399.5396789703154
2025-04-09,Hoffman Toyota,West Simsbury,2017,21284.0,LE,18900,393.2742789703152
2025-04-24,Copeland Toyota,Brockton,2023,56536.0,SE,24995,392.1063894851577
2025-04-05,White River Toyota,White River Junction,2025,1.0,SE,35224,383.9250000000029
2025-04-23,Toyota of Braintree,Braintree,2019,109433.0,SE,17485,382.70200005554216
2025-04-26,Ira Toyota of Danvers,Danvers,2025,5.0,LE,34472,377.6670000000013
2025-04-27,CarMax Westborough,Westborough,2018,96701.0,XLE,19998,356.5310334317801
2025-04-11,Toyota of Nashua,Nashua,2022,37899.0,LE,24298,335.6702889545195
2025-04-17,Nucar Toyota of North Attleboro,North Attleboro,2025,5.0,XLE,38469,322.6843000000008
2025-04-28,Elite Motors,Bridgewater,2020,88648.0,SE,18995,321.42183396242035
2025-04-26,North End Motors,Canton,2024,25276.0,SE,28490,306.8500444772617
2025-04-11,Toyota of Nashua,Nashua,2020,48970.0,LE,20900,300.9850339624172
2025-04-16,Riverhead Toyota,Riverhead,2025,1.0,SE,35314,293.9250000000029
2025-04-16,Ira Toyota of Manchester,Manchester,2025,5.0,SE,35314,293.6586000000025
2025-04-05,Ira Toyota of Danvers,Danvers,2025,5.0,XSE,39509,292.1785999999993
2025-04-25,Armory Chrysler Dodge Jeep Ram Fiat of Albany,Albany,2021,70312.0,LE,20903,287.6109290186141
2025-04-09,North End Motors,Canton,2023,58258.0,SE,24990,282.4211894851578
2025-04-03,Langway Toyota Nissan of Newport,Middletown,2016,50816.0,LE,16999,275.05787349587627
2025-04-03,Toyota of Nashua,Nashua,2019,95041.0,XSE,22750,269.72920005553897
2025-04-11,Romeo Toyota of Glens Falls,Glens Falls,2019,61500.0,XSE,25000,253.5598000555401
2025-04-05,McGovern Toyota of Portsmouth,Portsmouth,2021,58706.0,SE,22479,242.56212901861727
2025-04-23,Ira Toyota of Manchester,Manchester,2025,5.0,SE,35379,228.65860000000248
2025-04-26,Ira Toyota of Hyannis,Hyannis,2025,5.0,SE,35379,228.65860000000248
2025-04-02,Nissan of Merrimack Valley,Chelmsford,2019,29282.0,SE,22980,225.75860005554568
2025-04-15,Bourne's Auto Center,South Easton,2024,49063.0,SE,26990,222.6358444772632
2025-04-02,Grieco Honda,Johnston,2021,39149.0,XSE,27999,218.57832901861548
2025-04-16,Acton Toyota of Littleton,Littleton,2023,16913.0,XLE,31000,210.02388948515727
2025-04-16,Riverhead Toyota,Riverhead,2025,1.0,SE,35403,204.9250000000029
2025-04-11,Toyota of Dartmouth,N. Dartmouth,2025,1.0,SE,35403,204.9250000000029
2025-04-23,Ira Toyota of Orleans,Orleans,2022,72080.0,SE,22920,195.2072889545234
2025-04-26,Car Central,Milford,2017,86111.0,LE,14795,180.79607897031383
2025-04-26,A Better Way Wholesale,Naugatuck,2017,128623.0,LE,11995,149.49687897031436
2025-04-09,AutoFair Toyota of Tewksbury,Tewksbury,2024,15211.0,SE,29319,148.17904447726323
2025-04-17,BMW and MINI of Rockland,Rockland,2023,33497.0,XLE,29958,147.52948948515768
